date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:49	515/515	---MCZ	200	added ('OK')	text/plain	etag:cacheable:2f2e33d93f06e5a4cc569b3dc70332e4	https://theme480-sneakers-store.myshopify.com/robots.txt		(from )
13:14:49	77285/77285	---MCZ	200	added ('OK')	text/html	etag:cacheable:3599451a90cbe4e424f2d60fdda1f820	https://theme480-sneakers-store.myshopify.com/	C:/Users/naman/Downloads/Sites/sn/theme480-sneakers-store.myshopify.com/index.html	(from )
13:14:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20Mar%202023%2007:44:48%20GMT	http://cdn.shopify.com/s/files/1/0061/9017/0185/files/fav_32x32.png?v=1613753371	C:/Users/naman/Downloads/Sites/sn/cdn.shopify.com/s/files/1/0061/9017/0185/files/fav_32x32.04751.delayed	(from https://theme480-sneakers-store.myshopify.com/)
13:14:50	1532/1532	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2007:44:49%20GMT	https://cdn.shopify.com/s/files/1/0061/9017/0185/files/fav_32x32.png?v=1613753371	C:/Users/naman/Downloads/Sites/sn/cdn.shopify.com/s/files/1/0061/9017/0185/files/fav_32x324751.png	(from https://theme480-sneakers-store.myshopify.com/)
13:14:51	54425/54425	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:62bb837df4ab17bbdd83bb3ac94c615a	https://theme480-sneakers-store.myshopify.com/POST	C:/Users/naman/Downloads/Sites/sn/theme480-sneakers-store.myshopify.com/POST	(from https://theme480-sneakers-store.myshopify.com/)
13:14:51	109981/109981	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2009%20Mar%202023%2016:09:20%20GMT	https://cdn.shopify.com/s/trekkie.storefront.701f36a47153337658d848c1f5ce233a81e04f59.min.js	C:/Users/naman/Downloads/Sites/sn/cdn.shopify.com/s/trekkie.storefront.701f36a47153337658d848c1f5ce233a81e04f59.min.js	(from https://theme480-sneakers-store.myshopify.com/)
13:14:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20Mar%202023%2007:44:50%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-65cd0ba3fcd81a1df33f2510ec5bcf8c0e0958653b50e3965ec972dd638ee13f.js	C:/Users/naman/Downloads/Sites/sn/cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-65cd0ba3fcd81a1df33f2510ec5bcf8c0e0958653b50e3965ec972dd638ee13f.js	(from https://theme480-sneakers-store.myshopify.com/)
13:14:53	8318/8318	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2002%20Mar%202023%2000:45:16%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-65cd0ba3fcd81a1df33f2510ec5bcf8c0e0958653b50e3965ec972dd638ee13f.js	C:/Users/naman/Downloads/Sites/sn/cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-65cd0ba3fcd81a1df33f2510ec5bcf8c0e0958653b50e3965ec972dd638ee13f.js	(from https://theme480-sneakers-store.myshopify.com/)
13:14:53	59535/59535	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2002%20Mar%202023%2000:39:26%20GMT	https://cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	C:/Users/naman/Downloads/Sites/sn/cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	(from https://theme480-sneakers-store.myshopify.com/)
13:14:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20Mar%202023%2007:44:52%20GMT	http://cdn.shopify.com/s/files/1/0061/9017/0185/t/2/assets/shopify_logo.gif?v=124153987796372640561539336230	C:/Users/naman/Downloads/Sites/sn/cdn.shopify.com/s/files/1/0061/9017/0185/t/2/assets/shopify_logo7619.gif	(from https://theme480-sneakers-store.myshopify.com/)
13:14:54	236294/236294	---M--	200	added ('OK')	image/gif	date:Fri,%2010%20Mar%202023%2007:44:53%20GMT	https://cdn.shopify.com/s/files/1/0061/9017/0185/t/2/assets/shopify_logo.gif?v=124153987796372640561539336230	C:/Users/naman/Downloads/Sites/sn/cdn.shopify.com/s/files/1/0061/9017/0185/t/2/assets/shopify_logo7619.gif	(from https://theme480-sneakers-store.myshopify.com/)
13:14:54	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2010%20Mar%202023%2007:44:53%20GMT	https://theme480-sneakers-store.myshopify.com/account	C:/Users/naman/Downloads/Sites/sn/theme480-sneakers-store.myshopify.com/account	(from https://theme480-sneakers-store.myshopify.com/)
13:14:55	64484/64484	---MCZ	200	added ('OK')	text/html	etag:cacheable:ea6fe2aa2e1816aeaafab98d562c2567	https://theme480-sneakers-store.myshopify.com/account/login?return_url=%2Faccount	C:/Users/naman/Downloads/Sites/sn/theme480-sneakers-store.myshopify.com/account/login4236.html	(from https://theme480-sneakers-store.myshopify.com/)
13:14:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20Mar%202023%2007:44:55%20GMT	http://cdn.shopify.com/s/javascripts/currencies.js	C:/Users/naman/Downloads/Sites/sn/cdn.shopify.com/s/javascripts/currencies.js	(from https://theme480-sneakers-store.myshopify.com/)
13:14:56	65412/65412	---MCZ	200	added ('OK')	text/html	etag:cacheable:f57f9cb13a306123a480f3afe1c5476a	https://theme480-sneakers-store.myshopify.com/pages/wishlist	C:/Users/naman/Downloads/Sites/sn/theme480-sneakers-store.myshopify.com/pages/wishlist.html	(from https://theme480-sneakers-store.myshopify.com/)
13:14:56	2496/2496	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2010%20Mar%202023%2007:44:02%20GMT	https://cdn.shopify.com/s/javascripts/currencies.js	C:/Users/naman/Downloads/Sites/sn/cdn.shopify.com/s/javascripts/currencies.js	(from https://theme480-sneakers-store.myshopify.com/)
13:14:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20Mar%202023%2007:44:55%20GMT	http://cdn.shopify.com/s/files/1/0061/9017/0185/t/2/assets/currency-tools.js?v=56053141205250997201539336229	C:/Users/naman/Downloads/Sites/sn/cdn.shopify.com/s/files/1/0061/9017/0185/t/2/assets/currency-toolsf590.js	(from https://theme480-sneakers-store.myshopify.com/)
